answer,runtime
0,308.2734760000003
1,152.98571200000015
1,256.59313399999974
1,240.29870400000027
1,330.9257349999998
1,237.97582300000022
0,190.6916600000004
1,251.33023000000048
1,381.79263700000047
1,185.10275300000012
1,221.748286
1,290.71589700000004
1,298.45602400000007
1,261.79715599999963
1,204.65394099999958
1,283.16457999999966
1,229.69084099999964
1,317.4807959999998
0,200.63503300000048
1,151.89226999999937
0,337.22704799999974
0,163.36828500000047
1,298.47136300000057
1,302.3980909999991
1,199.86272500000086
1,260.9607390000001
1,277.16377099999954
1,413.1475329999994
1,240.80183299999953
1,328.77125700000033
1,357.36182200000076
1,295.41739699999926
1,291.01934599999913
1,346.0317879999984
1,217.79474599999958
1,229.0732259999986
1,204.96704099999988
1,209.27002399999947
0,200.68488799999977
1,180.72652599999856
1,301.39145500000086
1,437.13079500000094
1,353.83616900000015
1,232.7042429999983
0,166.94966599999862
0,192.07318000000123
0,271.33857499999976
0,270.70058699999936
0,192.37667299999885
0,356.1120769999998
1,118.8103030000002
1,258.2970179999993
1,412.5312849999991
1,116.25326800000039
1,190.05862299999717
1,225.21149299999888
1,256.4004669999995
1,169.52717800000028
1,224.54857400000037
1,211.59558900000047
1,372.5713680000008
1,265.0242109999999
0,199.11126799999693
1,399.8916570000001
0,383.3112570000012
0,521.3558870000015
1,447.07033800000136
1,406.4409639999976
1,250.49557800000184
1,231.05861300000106
1,205.30719099999988
1,412.41715699999986
1,207.32873100000143
1,113.03371700000207
1,229.81718900000124
1,319.6128929999977
1,270.22628500000064
1,219.51222599999892
1,192.42507199999818
1,293.2651249999981
0,344.96486399999776
1,301.3706520000014
1,369.535058999998
1,217.90646500000003
1,416.0338670000019
1,203.91982799999823
1,239.6348820000021
1,211.27801199999885
1,187.0782220000001
1,583.2474079999993
1,168.06585800000175
1,159.82612199999858
1,225.2163670000009
0,176.75358199999755
1,211.44880600000033
1,305.96410000000105
1,387.69974899999943
1,172.2336929999983
1,196.90112000000227
1,202.798992
